created;text 
12/5/2021 16:11;"RT @btsvotingorg: @btsvotingunite Don't stop on voting ARMY! Few more days left to vote. 🛸

#MAMAVOTE #bts"
12/5/2021 16:11;"RT @btsvotingorg: Thank you ARMY for joining the #BVOSpace. We hope you had fun voting with us! 

Let's continue to vote BTS and create mor…"
12/5/2021 16:11;RT @shawnstockman: Happy birthday to #BTS Jin! 💜@BTS_twt #HappyBirthdayJin #HAPPYJINDAY #SuperTunaByJin
12/5/2021 16:11;"RT @nappynapkin: Super Tuna - Animal crossing MV version 🎣 (Please watch till the end~)
#BTS #JIN #SuperTuna #슈퍼참치 #acnh #animalcrossing  @…"
12/5/2021 16:11;"RT @Jkkhey7: @btsvotingorg ARMY GLOBAL VOTING PARTY

I vote for #bts  as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE"
12/5/2021 16:11;"RT @btsvotingorg: Thank you ARMY for joining the #BVOSpace. We hope you had fun voting with us! 

Let's continue to vote BTS and create mor…"
12/5/2021 16:11;"RT @DIORlattae: Jin's BTS 'Super Tuna' Special Performance Video has passed 10M views on YouTube ! 🥳

#BTS #방탄소년단 #SUPERTUNA #슈퍼참치 @BTS_twt"
12/5/2021 16:11;"RT @btsvotingunite: [!] Worldwide Fans Choice Top 10 Finale (Website voting),

Added votes per hour, 1AM (KST):
1. #BTS – +50,146 🔥🔥😭
2.…"
12/5/2021 16:11;Eu voto pelo #bts (@BTS_twt) em Worldwide Fan's Choice Top 10 no #MAMAVOTE.
12/5/2021 16:11;RT @snbtslove: The weather was cold but my heart was warmed up by this amazing project by @bitchforia @BTSforia_OT7 for Jin💜 #BTS  #BTS_twt…
12/5/2021 16:11;"RT @btsvotingunite: [!] Worldwide Fans Choice Top 10 Finale (Website voting),

Added votes per hour, 1AM (KST):
1. #BTS – +50,146 🔥🔥😭
2.…"
12/5/2021 16:11;"my valid vote for today

I vote #bts for #MAMAVOTE 2021"
12/5/2021 16:11;"RT @btsvotingorg: @btsvotingunite Don't stop on voting ARMY! Few more days left to vote. 🛸

#MAMAVOTE #bts"
12/5/2021 16:11;"RT @twicefan01: Worldwide Fan's Choice Top 10 FINAL ROUND #MAMAVOTE #MAMA2021 

15 votes 

Like, Follow and Retweet 
#BTS #Straykids #SEVEN…"
12/5/2021 16:11;"RT @vantesbabyy: RT &amp; REPLY to vote‼️

I vote #bts for Worldwide Fans' Choice Top 10 #MAMAVOTE"
12/5/2021 16:11;"ARMY GLOBAL VOTING PARTY

#MAMAVOTE 2021 #bts (@BTS_twt )"
12/5/2021 16:11;"RT @btsvotingunite: [!] Worldwide Fans Choice Top 10 Finale (Website voting),

Added votes per hour, 1AM (KST):
1. #BTS – +50,146 🔥🔥😭
2.…"
12/5/2021 16:11;"@btsvotingorg @jeonsfriend I vote for @BTS_twt 

#MAMAVOTE  #bts"
12/5/2021 16:11;RT @vminspussy: I vote for #bts  for 2021 #MAMAVOTE
12/5/2021 16:11;"RT @DIORlattae: Jin's BTS 'Super Tuna' Special Performance Video has passed 10M views on YouTube ! 🥳

#BTS #방탄소년단 #SUPERTUNA #슈퍼참치 @BTS_twt"
12/5/2021 16:11;"ARMY GLOBAL VOTING PARTY

#MAMAVOTE 2021 #bts (@BTS_twt )"
12/5/2021 16:11;"@btsvotingorg ARMY GLOBAL VOTING PARTY

I vote for #bts  as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE"
12/5/2021 16:11;"RT @decalcomania177: @btsvotingorg ARMY GLOBAL VOTING PARTY

I vote for #bts  as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE"
12/5/2021 16:11;"RT @btsvotingunite: [!] Worldwide Fans Choice Top 10 Finale (Website voting),

Added votes per hour, 1AM (KST):
1. #BTS – +50,146 🔥🔥😭
2.…"
12/5/2021 16:11;"RT @nappynapkin: Super Tuna - Animal crossing MV version 🎣 (Please watch till the end~)
#BTS #JIN #SuperTuna #슈퍼참치 #acnh #animalcrossing  @…"
12/5/2021 16:11;"ARMY GLOBAL VOTING PARTY

#MAMAVOTE 2021 #bts (@BTS_twt )"
12/5/2021 16:11;RT @btsvotingorg: RT to vote #bts for Worldwide Fans' Choice Top 10 #MAMAVOTE.
12/5/2021 16:11;"RT @nappynapkin: Super Tuna - Animal crossing MV version 🎣 (Please watch till the end~)
#BTS #JIN #SuperTuna #슈퍼참치 #acnh #animalcrossing  @…"
12/5/2021 16:11;"RT @btsvotingunite: [!] Worldwide Fans Choice Top 10 Finale (Website voting),

Added votes per hour, 1AM (KST):
1. #BTS – +50,146 🔥🔥😭
2.…"
12/5/2021 16:11;"ARMY GLOBAL VOTING PARTY

#MAMAVOTE 2021 #bts (@BTS_twt )"
12/5/2021 16:11;"RT @_candyclover: ✊🏻💜 ARMY GLOBAL VOTING PARTY 
เหลือเวลาอีกไม่กี่วันแล้ว ไปโหวตให้ @BTS_twt กันค่ะ 

WW Fans' Choice TOP10/Icon of the Yea…"
12/5/2021 16:11;"I vote #bts for #MAMAVOTE 
ARMY GLOBAL VOTING PARTY"
12/5/2021 16:11;"RT @jkkswu: @btsvotingorg ARMY GLOBAL VOTING PARTY

I vote for #bts  as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE"
12/5/2021 16:11;"RT @DIORlattae: Jin's BTS 'Super Tuna' Special Performance Video has passed 10M views on YouTube ! 🥳

#BTS #방탄소년단 #SUPERTUNA #슈퍼참치 @BTS_twt"
12/5/2021 16:11;RT @BTSVotingTroop: Vote #bts (@BTS_twt) on MAMA Worldwide Fans' Choice Top 10. #MAMAVOTE
12/5/2021 16:11;"RT @bbluebellies: This song makes me so happy and instantly lifts my mood. Thank you for the lovely gift jin 💜💜🐟
#SUPERTUNA
#SuperTunaByJin…"
12/5/2021 16:11;"RT @ayes__7: @btsvotingorg ARMY GLOBAL VOTING PARTY

I vote for #bts  as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE"
12/5/2021 16:11;"RT @btsvotingorg: 🔔 ARMY NOTICE!

We do hope you are all ready for our upcoming mass voting at 9pm (KST), we also prepare something for you…"
12/5/2021 16:11;"RT @nappynapkin: Super Tuna - Animal crossing MV version 🎣 (Please watch till the end~)
#BTS #JIN #SuperTuna #슈퍼참치 #acnh #animalcrossing  @…"
12/5/2021 16:11;RT @I_am_JKs_Wife: @btsvotingorg I vote for #bts  as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE
12/5/2021 16:11;"RT @btsvotingorg: Thank you ARMY for joining the #BVOSpace. We hope you had fun voting with us! 

Let's continue to vote BTS and create mor…"
12/5/2021 16:11;"RT @btsvotingorg: Thank you ARMY for joining the #BVOSpace. We hope you had fun voting with us! 

Let's continue to vote BTS and create mor…"
12/5/2021 16:11;"RT @btsvotingunite: [!] Worldwide Fans Choice Top 10 Finale (Website voting),

Added votes per hour, 10PM (KST):
1. #BTS – +36,057 🔥
2.…"
12/5/2021 16:11;RT @GlobalBTSVoting: RT to vote #bts (@BTS_twt) on MAMA Worldwide Fans' Choice Top 10. #MAMAVOTE
12/5/2021 16:11;RT @pinkpinkyoongi: I vote for #bts  for 2021 #MAMAVOTE
12/5/2021 16:11;RT @euphoriaworId: RT to vote #bts  for Worldwide Fans' Choice Top 10 #MAMAVOTE .
12/5/2021 16:11;"RT @btsvotingorg: Thank you ARMY for joining the #BVOSpace. We hope you had fun voting with us! 

Let's continue to vote BTS and create mor…"
12/5/2021 16:11;"RT @Taetae_bts77: @JeonSmhh If @bellapoarch can vote for BTS in MAMA ,then you can too,please cover the gap Armys!!

I vote for #bts #MAMAV…"
12/5/2021 16:11;"RT @btsvotingorg: Thank you ARMY for joining the #BVOSpace. We hope you had fun voting with us! 

Let's continue to vote BTS and create mor…"
12/5/2021 16:11;"My vote 🤍

#MAMAVOTE #bts  @BTS_twt"
12/5/2021 16:11;I vote #bts for #MAMAVOTE 2021
12/5/2021 16:11;I'm voting 🗳 for #bts ￼    for #MAMAVOTE ￼    @BTS_twt
12/5/2021 16:11;"RT @btsvotingunite: [!] Worldwide Fans Choice Top 10 Finale (Website voting),

Added votes per hour, 1AM (KST):
1. #BTS – +50,146 🔥🔥😭
2.…"
